cache-misses-1,node-loads-1,branch-misses-1,branch-load-misses-1,cache-misses-2,node-loads-2,branch-misses-2,branch-load-misses-2,cache-misses-3,node-loads-3,branch-misses-3,branch-load-misses-3,cache-misses-4,node-loads-4,branch-misses-4,branch-load-misses-4,cache-misses-5,node-loads-5,branch-misses-5,branch-load-misses-5,label
36218220,2530196,29315596,29316371,67010880,4826768,44219557,44218791,61089052,4770075,33062200,33063440,58901471,4235577,23518737,23517769,42228033,2981700,17816182,17816426,7
34025893,2310966,29030928,29031111,74840153,5778039,49779543,49780197,84125769,6507363,41147273,41147892,47180922,3188601,22359608,22358975,53289344,3827425,38928056,38927513,23
36778380,2597194,32242092,32242655,74405269,5584753,47564426,47564998,64467520,4966192,38899943,38899553,58727157,4140510,26356572,26357154,47354346,3340845,18700359,18699857,17
35736215,2499164,32035503,32038530,65822099,4772384,41975936,41972911,64615266,4967699,37183764,37184610,69232206,4963483,30828355,30828973,51816377,3675632,19138978,19137869,12
33763999,2342137,29283630,29283654,77729107,5961852,51806652,51807827,73673566,5612054,39236268,39237405,69884398,5030588,39130971,39128933,58012830,5050203,19270743,19270653,24
32791071,2277130,29144109,29146910,76083437,5675904,49340678,49338533,61902427,4765532,33978631,33978698,62922817,4493906,25779405,25779352,48762247,3412544,18959756,18959394,16
34480636,2405570,28459245,28461460,78832943,6059693,52017856,52017104,65754164,5027671,39083749,39084775,55031434,4002539,23053138,23050942,52335696,3715402,23373771,23373753,22
34014235,2336114,28170299,28171797,67012609,4810544,45063946,45062452,45619817,3240024,21548751,21549383,53375333,3940267,24763178,24762797,29820147,2397248,15409500,15409256,20
36180680,2511859,30375932,30377427,78271989,6007634,49406887,49406848,54780801,4068888,27707757,27706587,59990252,4207603,29561966,29561924,45777795,3128712,16720360,16721544,10
34947164,2424904,30057159,30057405,81039697,6246124,50112140,50112426,59190355,4530631,33182593,33182279,58943434,4206956,27528246,27529634,65193990,4793964,29077661,29077615,14
